ROOT	WORD	SEGMENTATION	ANALYSIS	FREQ
grup	gruplarımızı	grup-lar-ımız-ı	N-PL-PSS1P-ACC	1
grup	gruplarınızın	grup-lar-ınız-ın	N-PL-PSS2P-GEN	2
grup	gruplarımızın	grup-lar-ımız-ın	N-PL-PSS1P-GEN	4
grup	grupların	grup-lar-ın	N-PL-GEN	248
grup	gruptan	grup-tan	N-ABL	124
grup	gruplarının	grup-lar-ı-nın	N-PL-PSS3S-GEN	221
grup	gruplarınızı	grup-lar-ınız-ı	N-PL-PSS2P-ACC	3
grup	gruplarımızda	grup-lar-ımız-da	N-PL-PSS1P-LOC	2
grup	gruplar	grup-lar	N-PL	713
grup	grupları	grup-lar-ı	N-PL-PSS3S	799
grup	grupta	grup-ta	N-LOC	478
grup	grup	grup	N	3248
grup	gruplarımızdan	grup-lar-ımız-dan	N-PL-PSS1P-ABL	2
grup	gruplara	grup-lar-a	N-PL-DAT	205
grup	gruplarımız	grup-lar-ımız	N-PL-PSS1P	13
grup	gruplarda	grup-lar-da	N-PL-LOC	80
grup	gruplarınızdan	grup-lar-ınız-dan	N-PL-PSS2P-ABL	2
grup	gruplarımıza	grup-lar-ımız-a	N-PL-PSS1P-DAT	1
grup	gruplardan	grup-lar-dan	N-PL-ABL	66
göbek	göbekten	göbek-ten	N-ABL	3
göbek	göbekler	göbek-ler	N-PL	1
göbek	göbekleri	göbek-ler-i	N-PL-PSS3S	2
göbek	göbek	göbek	N	81
gökdelen	gökdelenler	gökdelen-ler	N-PL	5
gökdelen	gökdelenlere	gökdelen-ler-e	N-PL-DAT	4
gökdelen	gökdelenlerden	gökdelen-ler-den	N-PL-ABL	1
gökdelen	gökdelenin	gökdelen-in	N-GEN	1
gökdelen	gökdelenlerin	gökdelen-ler-in	N-PL-GEN	5
gökdelen	gökdelenleri	gökdelen-ler-i	N-PL-PSS3S	5
gökdelen	gökdelenlerde	gökdelen-ler-de	N-PL-LOC	3
gökdelen	gökdelen	gökdelen	N	8
gökkuşağı	gökkuşağının	gökkuşağı-nın	N-GEN	8
gökkuşağı	gökkuşağı	gökkuşağı	N	19
göl	göller	göl-ler	N-PL	84
göl	göllere	göl-ler-e	N-PL-DAT	12
göl	göllerden	göl-ler-den	N-PL-ABL	8
göl	gölün	göl-ün	N-GEN	110
göl	göle	göl-e	N-DAT	85
göl	gölü	göl-ü	N-PSS3S	322
göl	göllerin	göl-ler-in	N-PL-GEN	31
göl	gölleri	göl-ler-i	N-PL-PSS3S	42
göl	gölden	göl-den	N-ABL	10
göl	göllerde	göl-ler-de	N-PL-LOC	30
göl	gölde	göl-de	N-LOC	42
göl	göl	göl	N	338
gölge	gölgelerimizin	gölge-ler-imiz-in	N-PL-PSS1P-GEN	1
gölge	gölgeyi	gölge-yi	N-ACC	8
gölge	gölgen	gölge-n	N-PSS2S	4
gölge	gölgelerin	gölge-ler-in	N-PL-GEN	9
gölge	gölgeden	gölge-den	N-ABL	4
gölge	gölgelerinin	gölge-ler-i-nin	N-PL-PSS3S-GEN	2
gölge	gölgende	gölge-n-de	N-PSS2S-LOC	3
gölge	gölgeler	gölge-ler	N-PL	42
gölge	gölgeleri	gölge-ler-i	N-PL-PSS3S	13
