ROOT	WORD	SEGMENTATION	ANALYSIS	FREQ
нэр	нэрийн	нэр-ийн	N-GEN;SG	20560
нэр	нэрд	нэр-д	N-DAT;SG	2108
нэр	нэрийг	нэр-ийг	N-ACC;SG	28958
нэр	нэрээс	нэр-ээс	N-ABL;SG	260
нэр	нэрээр	нэр-ээр	N-INS;SG	15001
нэр	нэртэй	нэр-тэй	N-COM;SG	29800
нэр	нэрээ	нэр-ээ	N-VOC;SG	9734
отряд	отрядын	отряд-ын	N-GEN;SG	348
отряд	отрядыг	отряд-ыг	N-ACC;SG	101
отряд	отрядоос	отряд-оос	N-ABL;SG	2
отряд	отрядоор	отряд-оор	N-INS;SG	3
отряд	отрядтой	отряд-той	N-COM;SG	1
отряд	отрядоо	отряд-оо	N-VOC;SG	1
бодис	бодисын	бодис-ын	N-GEN;SG	8952
бодис	бодист	бодис-т	N-DAT;SG	518
бодис	бодисыг	бодис-ыг	N-ACC;SG	4101
бодис	бодисоос	бодис-оос	N-ABL;SG	598
бодис	бодисоор	бодис-оор	N-INS;SG	994
бодис	бодистой	бодис-той	N-COM;SG	1537
бодис	бодисоо	бодис-оо	N-VOC;SG	177
далай	далайн	далай-н	N-GEN;SG	26562
далай	далайд	далай-д	N-DAT;SG	4146
далай	далайг	далай-г	N-ACC;SG	717
далай	далайтай	далай-тай	N-COM;SG	147
дуу	дууг	дуу-г	N-ACC;SG	10914
дуу	дуутай	дуу-тай	N-COM;SG	1540
амь	амиар	ами-ар	N-INS;SG	530
амь	амьтай	амь-тай	N-COM;SG	1475
амь	амиа	ами-а	N-VOC;SG	28948
хүүхэд	хүүхдэд	хүүхдэ-д	N-DAT;SG	18797
хүүхэд	хүүхэдтэй	хүүхэд-тэй	N-COM;SG	16531
хэмжээ	хэмжээг	хэмжээ-г	N-ACC;SG	96169
хэмжээ	хэмжээтэй	хэмжээ-тэй	N-COM;SG	13477
багтаамж	багтаамжийн	багтаамж-ийн	N-GEN;SG	698
багтаамж	багтаамжийг	багтаамж-ийг	N-ACC;SG	371
багтаамж	багтаамжаас	багтаамж-аас	N-ABL;SG	127
багтаамж	багтаамжаар	багтаамж-аар	N-INS;SG	42
багтаамж	багтаамжтай	багтаамж-тай	N-COM;SG	3282
багтаамж	багтаамжаа	багтаамж-аа	N-VOC;SG	28
эс	эсийн	эс-ийн	N-GEN;SG	3033
эс	эсийг	эс-ийг	N-ACC;SG	1778
эс	эсээс	эс-ээс	N-ABL;SG	266
эс	эсээр	эс-ээр	N-INS;SG	57
эс	эстэй	эс-тэй	N-COM;SG	168
